Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2008	0.5556	7.7778	0.05	2.5586
2	1	2008	-6.1111	-1.1111	0.05	1.934
3	1	2008	-9.4444	3.8889	0.0	1.2379
4	1	2008	-3.8889	7.7778	0.0	1.7126000000000001
5	1	2008	0.0	12.2222	0.0	1.9342
6	1	2008	5.5556	18.8889	0.0	2.1028000000000002
7	1	2008	6.6667	21.1111	0.0	2.3404000000000003
8	1	2008	12.2222	20.0	0.0	2.0513
9	1	2008	13.8889	17.5	6.6000000000000005	1.7291
10	1	2008	14.0278	20.0	3.8	2.3861
11	1	2008	7.2222	15.0	14.799999999999999	2.0819
12	1	2008	2.2222	15.0	0.0	1.8978
13	1	2008	3.3333	14.4444	0.0	2.2134
14	1	2008	-1.1111	9.4444	0.0	2.3339
15	1	2008	-0.5556	8.8889	0.0	2.3102
16	1	2008	-0.5556	3.3333	5.35	1.6296
17	1	2008	0.0	3.8889	7.0	0.9191
18	1	2008	3.3333	11.6667	0.5	1.713
19	1	2008	-0.7407	6.1111	3.3000000000000003	1.3543
20	1	2008	-8.3333	-1.1111	0.05	1.5795
21	1	2008	-6.6667	5.0	0.0	2.128
22	1	2008	0.5556	4.6296	2.45	1.8091
23	1	2008	4.0278	10.0	0.35000000000000003	1.4904
24	1	2008	-2.2222	5.5556	0.0	1.9377
25	1	2008	-6.1111	5.0	0.0	2.0566
26	1	2008	0.5556	7.2222	0.35	1.5688
27	1	2008	0.2778	11.6667	0.0	2.22
28	1	2008	0.0	15.0	0.0	2.5619
29	1	2008	3.8889	17.2222	2.7	2.7760000000000002
30	1	2008	-1.6667	14.4444	0.4	2.7364
31	1	2008	-2.7778	9.4444	5.85	2.5071
1	2	2008	2.7778	9.4444	15.45	1.5972
2	2	2008	-1.6667	13.8889	0.0	1.9769999999999999
3	2	2008	3.3333	17.2222	0.15000000000000002	2.6505
4	2	2008	9.2593	21.1111	4.35	2.5441
5	2	2008	11.1111	18.3333	0.6	2.4055
