Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2018	-3.21	4.8	0.0	2.1647
2	1	2018	-6.26	4.26	0.0	2.5848
3	1	2018	-3.95	6.6	0.0	2.9578
4	1	2018	-4.63	7.04	0.0	3.2062
5	1	2018	-5.79	7.31	0.0	2.0721
6	1	2018	-6.39	9.35	0.0	1.8298
7	1	2018	-5.18	11.56	0.0	2.229
8	1	2018	1.62	14.11	0.0	1.5519
9	1	2018	13.23	20.76	0.0	2.057
10	1	2018	13.06	22.03	0.0	1.7813
11	1	2018	17.13	24.4	1.016	1.7002
12	1	2018	5.62	19.85	18.29	0.4871
13	1	2018	-1.64	7.76	0.0	2.5629
14	1	2018	-4.02	9.15	0.0	2.0897
15	1	2018	-3.14	12.75	0.0	1.9267
16	1	2018	-2.49	15.36	0.0	1.8835
17	1	2018	-4.7	7.42	1.524	2.5699
18	1	2018	-7.28	8.78	0.0	2.6347
19	1	2018	-5.99	14.76	0.0	2.0472
20	1	2018	-2.83	16.93	0.0	1.9648
21	1	2018	2.09	21.38	0.0	2.2891
22	1	2018	5.76	22.1	0.0	1.3959
23	1	2018	7.73	19.62	0.0	3.8583
24	1	2018	1.96	13.77	0.0	2.9231
25	1	2018	0.33	17.07	0.0	3.2674
26	1	2018	-1.81	19.68	0.0	2.7145
27	1	2018	11.63	20.97	0.0	2.2839
28	1	2018	13.91	18.6	67.82	0.5304
29	1	2018	5.97	18.39	0.254	2.5524
30	1	2018	-0.01	11.97	0.0	3.3435
31	1	2018	-2.53	15.91	0.0	2.5533
1	2	2018	1.75	18.84	0.254	1.8699
2	2	2018	3.35	14.55	0.762	3.3704
3	2	2018	-0.69	15.71	0.0	3.53
4	2	2018	9.86	21.99	23.88	2.5662
5	2	2018	4.61	19.41	0.0	2.3769
6	2	2018	4.44	24.57	0.0	2.6425
7	2	2018	15.41	24.37	22.61	2.4063
8	2	2018	7.76	19.61	0.0	4.2241
9	2	2018	6.91	15.4	0.254	1.0064
10	2	2018	11.94	22.57	0.0	1.474
11	2	2018	16.28	20.23	86.1	0.362
12	2	2018	14.93	20.16	13.21	0.9285
13	2	2018	12.01	20.6	0.254	1.4532
14	2	2018	11.43	19.65	0.0	1.6234
15	2	2018	14.32	23.08	0.0	1.9771
16	2	2018	15.81	27.19	0.0	4.2862
17	2	2018	14.22	26.28	0.0	2.8539
18	2	2018	15.27	27.64	0.0	3.0495
19	2	2018	16.02	27.6	0.0	3.5973
20	2	2018	17.58	26.04	3.556	2.4169
21	2	2018	18.06	28.35	0.254	3.2162
22	2	2018	17.11	27.64	0.0	3.1452
23	2	2018	15.61	28.63	0.0	3.713
24	2	2018	13.16	29.21	0.0	3.975
25	2	2018	15.2	26.65	5.334	2.5679
26	2	2018	12.69	20.81	12.19	1.5718
27	2	2018	10.58	19.24	0.254	2.2353
28	2	2018	12.48	25.77	0.0	3.444
1	3	2018	16.56	29.55	1.016	5.6333
2	3	2018	10.18	21.38	0.0	5.6185
3	3	2018	3.56	21.08	0.0	4.5001
4	3	2018	5.12	20.13	0.0	4.8674
5	3	2018	4.88	21.72	0.0	3.574
6	3	2018	11.36	19.78	11.43	1.3381
7	3	2018	5.87	15.36	0.0	4.5533
8	3	2018	1.01	13.9	0.0	4.4031
9	3	2018	-1.1	17.78	0.0	3.2892
10	3	2018	1.01	20.94	0.0	3.2168
11	3	2018	6.04	22.74	30.73	2.2062
12	3	2018	6.77	14.11	0.0	3.5095
13	3	2018	2.67	16.28	0.0	4.5176
14	3	2018	3.35	15.5	0.0	5.2445
15	3	2018	-0.79	19.48	0.0	4.6394
16	3	2018	3.15	22.3	0.0	3.5436
17	3	2018	10.65	26.61	0.0	4.2374
18	3	2018	17.37	28.08	12.7	4.238
19	3	2018	17.03	23.25	10.67	1.5901
20	3	2018	13.4	26.25	0.0	6.3025
21	3	2018	7.97	17.2	0.0	6.8744
22	3	2018	3.89	17.54	0.0	5.6314
23	3	2018	2.23	19.82	0.0	3.504
24	3	2018	6.85	26.48	0.0	7.1732
25	3	2018	11.22	26.58	6.604	3.7125
26	3	2018	9.05	11.29	1.524	1.0894
27	3	2018	10.34	23.08	0.0	3.5391
28	3	2018	14.05	26.89	0.0	5.8287
29	3	2018	12.21	27.06	0.0	4.3815
30	3	2018	14.15	21.08	29.21	2.1259
31	3	2018	9.9	22.44	0.0	5.7606
1	4	2018	8.27	26.07	0.0	4.3519
2	4	2018	12.55	26.18	0.0	3.8142
3	4	2018	12.89	29.38	0.0	5.1175
4	4	2018	10.68	20.77	2.032	1.9064
5	4	2018	3.59	22.47	0.254	5.2518
6	4	2018	8.95	27.37	0.0	5.5139
7	4	2018	14.11	21.15	15.24	1.3668
8	4	2018	8.61	17.2	0.0	3.6623
9	4	2018	13.3	19.89	0.0	2.4955
10	4	2018	11.19	21.01	0.0	3.8638
11	4	2018	7.39	23.9	0.0	5.1796
12	4	2018	6.44	26.18	0.0	4.8888
13	4	2018	11.22	28.05	0.0	5.1545
14	4	2018	15.47	29.76	0.0	6.0433
15	4	2018	10.17	22.1	29.72	2.5038
16	4	2018	4.88	19.41	0.0	6.7078
17	4	2018	5.43	24.14	0.0	5.8222
18	4	2018	9.84	30.77	0.0	9.1176
19	4	2018	15.13	28.16	0.0	7.3167
20	4	2018	8.14	22.03	0.0	6.2722
21	4	2018	11.39	23.76	0.0	4.4712
22	4	2018	16.76	23.53	65.02	2.3878
23	4	2018	16.56	27.77	16.0	5.3325
24	4	2018	13.71	22.64	0.0	4.7238
25	4	2018	13.03	25.12	0.0	5.9403
26	4	2018	11.67	25.84	0.254	4.3405
27	4	2018	13.16	22.91	0.0	5.0905
28	4	2018	10.65	26.52	0.0	5.9669
29	4	2018	11.16	26.93	0.0	6.5858
30	4	2018	10.04	27.68	0.0	6.137
1	5	2018	12.18	29.31	0.0	6.0707
2	5	2018	13.6	30.06	0.0	6.3916
3	5	2018	13.23	29.55	0.0	5.911
4	5	2018	14.96	30.44	0.0	5.9479
5	5	2018	16.83	31.66	0.0	6.0573
6	5	2018	17.75	30.57	0.0	7.798
7	5	2018	14.08	30.5	0.0	6.3948
8	5	2018	12.86	32.31	0.0	6.0406
9	5	2018	16.8	32.85	0.0	7.1
10	5	2018	18.53	32.82	0.0	7.5834
11	5	2018	17.51	33.94	0.0	6.6887
12	5	2018	19.83	34.79	0.0	6.5618
13	5	2018	18.64	34.75	0.0	6.5782
14	5	2018	19.49	29.65	0.254	4.0839
15	5	2018	20.71	28.26	0.254	3.691
16	5	2018	20.64	29.52	8.64	3.8209
17	5	2018	21.12	29.82	0.0	4.6091
18	5	2018	20.67	30.95	0.0	5.9486
19	5	2018	21.49	33.46	0.0	6.0825
20	5	2018	20.78	29.99	5.588	3.7763
21	5	2018	19.83	28.16	22.1	3.124
22	5	2018	21.42	28.29	6.35	3.7596
23	5	2018	20.95	30.98	1.016	4.8633
24	5	2018	20.3	31.18	64.52	4.4026
25	5	2018	20.61	31.97	0.254	5.6301
26	5	2018	21.42	31.32	1.524	4.7916
27	5	2018	21.25	27.07	7.874	3.3814
28	5	2018	22.27	27.24	5.588	2.8223
29	5	2018	22.82	28.57	7.112	4.3243
30	5	2018	22.41	30.84	0.0	4.9414
31	5	2018	22.61	32.0	0.0	5.8759
1	6	2018	22.88	32.78	0.0	6.0974
2	6	2018	20.37	30.3	15.75	3.3951
3	6	2018	22.88	33.97	0.254	6.8422
4	6	2018	20.1	31.12	0.0	7.4814
5	6	2018	16.9	30.2	0.0	5.3095
6	6	2018	19.62	31.76	0.0	5.5177
7	6	2018	19.42	34.08	0.0	6.0289
8	6	2018	20.85	33.6	0.0	6.1012
9	6	2018	19.52	32.37	22.61	4.5048
10	6	2018	20.03	31.18	0.254	4.3982
11	6	2018	20.23	29.01	0.0	3.8497
12	6	2018	21.32	32.2	2.286	5.2315
13	6	2018	21.12	31.9	0.0	5.7929
14	6	2018	22.0	30.67	0.0	4.4516
15	6	2018	22.75	30.06	0.508	4.6656
16	6	2018	21.8	31.18	33.27	3.6813
17	6	2018	22.21	32.1	0.254	4.769
18	6	2018	21.59	33.29	0.254	6.0357
19	6	2018	23.12	34.76	0.0	6.3844
20	6	2018	23.77	35.3	0.0	6.9301
21	6	2018	24.18	33.46	0.0	6.7361
22	6	2018	24.18	32.88	0.0	6.7782
23	6	2018	23.57	34.14	0.0	6.8395
24	6	2018	23.57	34.63	0.0	6.6507
25	6	2018	23.06	35.34	34.29	5.9083
26	6	2018	21.19	34.9	0.0	6.5791
27	6	2018	19.76	34.59	34.29	6.1214
28	6	2018	20.91	34.62	20.32	5.3726
29	6	2018	21.73	34.25	0.254	6.0511
30	6	2018	22.34	32.89	64.26	5.4254
1	7	2018	22.58	30.81	42.16	3.0588
2	7	2018	22.55	30.47	9.91	3.0061
3	7	2018	22.82	34.32	4.572	6.1341
4	7	2018	22.31	30.95	34.29	4.4412
5	7	2018	21.73	31.42	0.254	5.289
6	7	2018	21.73	33.36	1.016	5.791
7	7	2018	21.73	31.66	1.27	5.3547
8	7	2018	22.04	31.15	0.254	4.9568
9	7	2018	22.0	32.07	0.762	4.5612
10	7	2018	21.87	34.19	0.0	6.2848
11	7	2018	21.49	34.93	0.0	5.9341
12	7	2018	22.0	35.17	0.0	6.5177
13	7	2018	23.43	34.94	0.0	5.9875
14	7	2018	23.5	33.44	0.0	3.8003
15	7	2018	22.27	33.46	10.67	3.8827
16	7	2018	22.82	32.85	0.0	4.4302
17	7	2018	22.61	32.48	0.762	5.3326
18	7	2018	23.97	33.94	0.0	5.6413
19	7	2018	23.57	32.75	35.05	3.5519
20	7	2018	22.82	32.34	0.254	5.1741
21	7	2018	20.91	28.94	47.75	2.972
22	7	2018	21.87	33.33	0.0	5.7224
23	7	2018	22.24	31.97	7.112	4.9178
24	7	2018	21.32	32.07	3.048	4.0846
25	7	2018	21.42	32.48	0.254	5.0263
26	7	2018	23.6	33.84	2.794	5.1294
27	7	2018	23.16	32.17	0.0	3.4021
28	7	2018	22.95	34.15	0.0	5.1212
29	7	2018	23.36	32.95	0.0	4.8843
30	7	2018	22.07	32.03	0.0	4.4246
