Hour	Day	Month	Year	Tmean(C)	Prcp(mm)	Et0(mm)
0	1	1	2018	3.9797	0.0	0.0
1	1	1	2018	3.8585	0.0	0.0021
2	1	1	2018	3.508	0.0	0.0072
3	1	1	2018	2.785	0.0	0.0122
4	1	1	2018	1.7762	0.0	0.019
5	1	1	2018	1.0072	0.0	0.0193
6	1	1	2018	0.1578	0.0	0.0186
7	1	1	2018	-0.058	0.0	0.0183
8	1	1	2018	-0.4668	0.0	0.0862
9	1	1	2018	-0.4858	0.0	0.1081
10	1	1	2018	0.1545	0.0	0.1473
11	1	1	2018	1.3495	0.0	0.1955
12	1	1	2018	2.1012	0.0	0.2048
13	1	1	2018	2.4435	0.0	0.2237
14	1	1	2018	3.3828	0.0	0.2709
15	1	1	2018	3.7275	0.0	0.2496
16	1	1	2018	3.5	0.0	0.1746
17	1	1	2018	2.5788	0.0	0.0359
18	1	1	2018	1.1765	0.0	0.0199
19	1	1	2018	0.34	0.0	0.0211
20	1	1	2018	-0.4327	0.0	0.0218
21	1	1	2018	-1.2832	0.0	0.0197
22	1	1	2018	-2.0955	0.0	0.0171
23	1	1	2018	-2.807	0.0	0.0127
0	2	1	2018	-3.219	0.0	0.012
1	2	1	2018	-3.6315	0.0	0.0116
2	2	1	2018	-4.1082	0.0	0.01
3	2	1	2018	-4.567	0.0	0.0093
4	2	1	2018	-5.0632	0.0	0.0079
5	2	1	2018	-5.5125	0.0	0.007
6	2	1	2018	-5.9308	0.0	0.0056
7	2	1	2018	-6.1018	0.0	0.0052
8	2	1	2018	-5.354	0.0	0.0656
9	2	1	2018	-4.3012	0.0	0.1099
10	2	1	2018	-2.5665	0.0	0.1863
11	2	1	2018	-0.7905	0.0	0.2523
12	2	1	2018	0.7642	0.0	0.2991
13	2	1	2018	1.7122	0.0	0.3115
14	2	1	2018	2.621	0.0	0.3137
15	2	1	2018	3.3982	0.0	0.2869
16	2	1	2018	3.3735	0.0	0.2261
17	2	1	2018	2.5862	0.0	0.0495
18	2	1	2018	0.874	0.0	0.0268
19	2	1	2018	-0.5088	0.0	0.0164
20	2	1	2018	-1.3005	0.0	0.014
21	2	1	2018	-1.807	0.0	0.0177
22	2	1	2018	-2.0982	0.0	0.0181
23	2	1	2018	-2.3148	0.0	0.017
0	3	1	2018	-3.326	0.0	0.0088
