Hour	Day	Month	Year	Tmean(C)	Prcp(mm)	Et0(mm)	RH
0	1	1	2018	3.9797	0.0	0.0	96.3
1	1	1	2018	3.8585	0.0	0.0021	86.425
2	1	1	2018	3.508	0.0	0.0072	80.52
3	1	1	2018	2.785	0.0	0.0122	74.165
4	1	1	2018	1.7762	0.0	0.019	66.2475
5	1	1	2018	1.0072	0.0	0.0193	64.335
6	1	1	2018	0.1578	0.0	0.0186	62.9275
7	1	1	2018	-0.058	0.0	0.0183	62.5425
8	1	1	2018	-0.4668	0.0	0.0862	62.125
9	1	1	2018	-0.4858	0.0	0.1081	59.705
10	1	1	2018	0.1545	0.0	0.1473	57.0825
11	1	1	2018	1.3495	0.0	0.1955	53.825
12	1	1	2018	2.1012	0.0	0.2048	50.935
13	1	1	2018	2.4435	0.0	0.2237	49.085
14	1	1	2018	3.3828	0.0	0.2709	46.645
15	1	1	2018	3.7275	0.0	0.2496	46.9475
16	1	1	2018	3.5	0.0	0.1746	48.72
17	1	1	2018	2.5788	0.0	0.0359	51.605
18	1	1	2018	1.1765	0.0	0.0199	56.5
19	1	1	2018	0.34	0.0	0.0211	56.6625
20	1	1	2018	-0.4327	0.0	0.0218	56.225
21	1	1	2018	-1.2832	0.0	0.0197	57.1675
22	1	1	2018	-2.0955	0.0	0.0171	58.54
23	1	1	2018	-2.807	0.0	0.0127	61.305
0	2	1	2018	-3.219	0.0	0.012	61.5325
1	2	1	2018	-3.6315	0.0	0.0116	62.115
2	2	1	2018	-4.1082	0.0	0.01	63.1925
3	2	1	2018	-4.567	0.0	0.0093	64.6725
4	2	1	2018	-5.0632	0.0	0.0079	66.31
5	2	1	2018	-5.5125	0.0	0.007	66.5575
6	2	1	2018	-5.9308	0.0	0.0056	68.74
7	2	1	2018	-6.1018	0.0	0.0052	69.4875
8	2	1	2018	-5.354	0.0	0.0656	61.9275
9	2	1	2018	-4.3012	0.0	0.1099	53.4675
10	2	1	2018	-2.5665	0.0	0.1863	40.04
11	2	1	2018	-0.7905	0.0	0.2523	31.39
12	2	1	2018	0.7642	0.0	0.2991	27.98
13	2	1	2018	1.7122	0.0	0.3115	27.0925
14	2	1	2018	2.621	0.0	0.3137	24.76
15	2	1	2018	3.3982	0.0	0.2869	23.39
16	2	1	2018	3.3735	0.0	0.2261	24.0025
17	2	1	2018	2.5862	0.0	0.0495	26.7125
18	2	1	2018	0.874	0.0	0.0268	31.4475
19	2	1	2018	-0.5088	0.0	0.0164	37.215
20	2	1	2018	-1.3005	0.0	0.014	40.18
21	2	1	2018	-1.807	0.0	0.0177	39.6175
22	2	1	2018	-2.0982	0.0	0.0181	40.115
23	2	1	2018	-2.3148	0.0	0.017	40.7725
0	3	1	2018	-3.326	0.0	0.0088	47.1575
1	3	1	2018	-3.383	0.0	0.0115	49.005
2	3	1	2018	-3.6022	0.0	0.0092	48.82
3	3	1	2018	-2.8145	0.0	0.015	48.01
4	3	1	2018	-2.1878	0.0	0.0196	42.7625
5	3	1	2018	-1.8782	0.0	0.0235	40.2125
6	3	1	2018	-1.6338	0.0	0.026	38.195
7	3	1	2018	-1.4585	0.0	0.0193	36.37
8	3	1	2018	-1.464	0.0	0.0903	40.945
9	3	1	2018	-1.617	0.0	0.1251	44.3025
10	3	1	2018	0.147	0.0	0.2185	38.41
11	3	1	2018	2.0198	0.0	0.2824	34.3225
12	3	1	2018	3.7925	0.0	0.3133	24.1175
13	3	1	2018	4.797	0.0	0.3104	19.995
14	3	1	2018	5.6982	0.0	0.3577	17.2675
15	3	1	2018	5.613	0.0	0.2741	16.4075
16	3	1	2018	5.5775	0.0	0.2665	16.4425
17	3	1	2018	4.7905	0.0	0.0712	17.7575
18	3	1	2018	2.6608	0.0	0.0383	23.835
19	3	1	2018	1.2928	0.0	0.012	32.9875
20	3	1	2018	-0.6193	0.0	0.0	45.9575
21	3	1	2018	-0.9082	0.0	0.0041	47.2425
22	3	1	2018	-0.884	0.0	0.0062	46.755
23	3	1	2018	-0.559	0.0	0.0111	47.4625
0	4	1	2018	-0.959	0.0	0.0124	49.9175
1	4	1	2018	-1.1388	0.0	0.0194	50.2575
2	4	1	2018	-1.284	0.0	0.0189	47.2125
3	4	1	2018	-1.7015	0.0	0.0149	44.83
4	4	1	2018	-2.2255	0.0	0.0151	44.9175
5	4	1	2018	-2.383	0.0	0.0132	43.5775
6	4	1	2018	-3.0315	0.0	0.0081	47.845
7	4	1	2018	-4.4135	0.0	0.0031	57.54
8	4	1	2018	-3.8255	0.0	0.0684	54.555
9	4	1	2018	-1.509	0.0	0.1623	46.4725
10	4	1	2018	0.268	0.0	0.2341	40.7475
11	4	1	2018	2.008	0.0	0.2879	35.3025
12	4	1	2018	3.5262	0.0	0.3384	29.5325
13	4	1	2018	4.7605	0.0	0.3586	26.88
14	4	1	2018	5.895	0.0	0.3751	24.1375
15	4	1	2018	6.3123	0.0	0.3693	22.915
16	4	1	2018	6.1482	0.0	0.2995	23.43
17	4	1	2018	5.151	0.0	0.0648	25.445
18	4	1	2018	3.1013	0.0	0.0403	30.4225
19	4	1	2018	2.3592	0.0	0.0411	32.2975
20	4	1	2018	1.7155	0.0	0.0293	34.23
21	4	1	2018	0.4338	0.0	0.0247	39.7825
22	4	1	2018	-0.0837	0.0	0.0289	38.545
23	4	1	2018	-0.7058	0.0	0.028	37.545
0	5	1	2018	-1.9148	0.0	0.0194	42.265
1	5	1	2018	-2.457	0.0	0.0169	41.805
2	5	1	2018	-3.1205	0.0	0.0103	42.9575
3	5	1	2018	-4.0917	0.0	0.0	50.9125
4	5	1	2018	-5.1798	0.0	0.0	60.2925
5	5	1	2018	-4.705	0.0	0.0063	50.6725
6	5	1	2018	-5.3178	0.0	0.0	55.6675
7	5	1	2018	-5.4525	0.0	0.001	56.9125
8	5	1	2018	-4.6645	0.0	0.0538	57.1025
9	5	1	2018	-3.2068	0.0	0.1159	45.43
10	5	1	2018	-1.3595	0.0	0.1952	35.7125
11	5	1	2018	1.1125	0.0	0.265	26.18
12	5	1	2018	3.2162	0.0	0.3042	19.5375
13	5	1	2018	4.814	0.0	0.3526	16.4175
14	5	1	2018	5.7068	0.0	0.2996	19.5
15	5	1	2018	6.781	0.0	0.2741	22.9125
16	5	1	2018	6.8795	0.0	0.1714	24.1675
17	5	1	2018	6.7152	0.0	0.0511	26.3625
18	5	1	2018	4.1742	0.0	0.0	36.9175
19	5	1	2018	1.7188	0.0	0.0	49.33
20	5	1	2018	-0.1007	0.0	0.0	66.1325
21	5	1	2018	-0.7755	0.0	0.0	71.555
22	5	1	2018	-1.529	0.0	0.0	74.25
23	5	1	2018	-2.1325	0.0	0.0	74.2175
0	6	1	2018	-2.9532	0.0	0.0	78.805
1	6	1	2018	-3.997	0.0	0.0	86.825
2	6	1	2018	-4.2693	0.0	0.0	85.075
3	6	1	2018	-5.2185	0.0	0.0	89.775
4	6	1	2018	-5.2838	0.0	0.0	89.4
5	6	1	2018	-5.5365	0.0	0.0	86.65
6	6	1	2018	-5.3802	0.0	0.0	88.25
7	6	1	2018	-5.9835	0.0	0.0	89.325
8	6	1	2018	-5.0287	0.0	0.0319	83.4825
9	6	1	2018	-1.002	0.0	0.1159	58.555
10	6	1	2018	2.5365	0.0	0.2276	39.315
11	6	1	2018	4.6848	0.0	0.2888	30.2825
12	6	1	2018	6.645	0.0	0.3469	25.935
13	6	1	2018	7.798	0.0	0.3338	24.51
14	6	1	2018	8.24	0.0	0.2794	24.865
15	6	1	2018	8.835	0.0	0.2875	24.74
16	6	1	2018	8.565	0.0	0.2381	26.255
17	6	1	2018	6.9155	0.0	0.0124	33.5525
18	6	1	2018	3.9898	0.0	0.0	48.6425
19	6	1	2018	1.7582	0.0	0.0	59.03
20	6	1	2018	0.0435	0.0	0.0	63.55
21	6	1	2018	-1.395	0.0	0.0	73.7475
22	6	1	2018	-2.2915	0.0	0.0	77.9825
23	6	1	2018	-3.0882	0.0	0.0	85.775
0	7	1	2018	-3.708	0.0	0.0	87.675
1	7	1	2018	-3.8612	0.0	0.0	87.35
2	7	1	2018	-3.7662	0.0	0.0	83.835
3	7	1	2018	-3.4842	0.0	0.0	79.38
4	7	1	2018	-4.3888	0.0	0.0	82.125
5	7	1	2018	-3.28	0.0	0.0	74.845
6	7	1	2018	-3.8468	0.0	0.0	78.53
7	7	1	2018	-4.2678	0.0	0.0	83.275
8	7	1	2018	-3.6152	0.0	0.0284	85.275
9	7	1	2018	1.2297	0.0	0.1186	68.1875
10	7	1	2018	4.3488	0.0	0.2145	52.69
11	7	1	2018	6.071	0.0	0.3011	37.365
12	7	1	2018	7.7952	0.0	0.3568	32.11
13	7	1	2018	8.89	0.0	0.3538	28.465
14	7	1	2018	9.8125	0.0	0.3455	25.955
15	7	1	2018	10.645	0.0	0.3042	25.42
16	7	1	2018	10.6225	0.0	0.1794	28.87
17	7	1	2018	9.1025	0.0	0.0347	36.7675
18	7	1	2018	7.6792	0.0	0.0182	45.37
19	7	1	2018	7.365	0.0	0.0187	52.46
20	7	1	2018	6.636	0.0	0.0136	58.4175
21	7	1	2018	6.5922	0.0	0.013	64.3175
22	7	1	2018	6.2032	0.0	0.0051	73.9075
23	7	1	2018	5.929	0.0	0.001	79.715
0	8	1	2018	5.1402	0.0	0.0	83.525
1	8	1	2018	4.6158	0.0	0.0	82.175
2	8	1	2018	4.3142	0.0	0.0013	79.3425
3	8	1	2018	3.962	0.0	0.0014	78.3025
4	8	1	2018	3.0525	0.0	0.0	81.075
5	8	1	2018	2.1532	0.0	0.0	84.95
6	8	1	2018	2.7098	0.0	0.0	80.215
7	8	1	2018	2.861	0.0	0.0029	76.52
8	8	1	2018	2.6835	0.0	0.0499	75.0525
9	8	1	2018	3.4598	0.0	0.0882	70.075
10	8	1	2018	4.6375	0.0	0.1281	65.49
11	8	1	2018	7.31	0.0	0.1406	64.405
12	8	1	2018	9.2825	0.0	0.1093	65.49
13	8	1	2018	10.76	0.0	0.1061	65.0175
14	8	1	2018	12.185	0.0	0.1155	65.1925
15	8	1	2018	13.56	0.0	0.1262	64.3725
16	8	1	2018	13.9225	0.0	0.1008	65.64
17	8	1	2018	13.855	0.0	0.0367	67.3825
18	8	1	2018	13.3675	0.0	0.0228	69.8775
19	8	1	2018	13.19	0.0	0.0212	71.9525
20	8	1	2018	13.1675	0.0	0.0207	74.445
21	8	1	2018	13.3475	0.0	0.0207	76.155
22	8	1	2018	13.54	0.0	0.0204	77.5325
23	8	1	2018	13.87	0.0	0.017	81.0275
0	9	1	2018	13.72	0.0	0.0119	85.6
1	9	1	2018	13.3425	0.0	0.0023	92.825
2	9	1	2018	13.37	0.0	0.0	95.875
3	9	1	2018	13.5325	0.0	0.0	96.85
4	9	1	2018	13.59	0.0	0.0	96.775
5	9	1	2018	13.45	0.0	0.0	97.475
6	9	1	2018	13.5075	0.0	0.0	98.125
7	9	1	2018	13.575	0.0	0.0	98.525
8	9	1	2018	13.705	0.0	0.0111	98.85
9	9	1	2018	13.915	0.0	0.0318	98.7
10	9	1	2018	14.2675	0.0	0.0622	97.85
11	9	1	2018	15.575	0.0	0.1469	90.7
12	9	1	2018	17.22	0.0	0.2828	81.385
13	9	1	2018	18.8975	0.0	0.3638	71.9675
14	9	1	2018	19.6625	0.0	0.3324	67.83
15	9	1	2018	19.28	0.0	0.2967	70.645
16	9	1	2018	18.41	0.0	0.137	75.565
17	9	1	2018	18.2375	0.0	0.0316	76.765
18	9	1	2018	17.4025	0.0	0.0	85.9
19	9	1	2018	17.1675	0.0	0.0	88.275
20	9	1	2018	17.195	0.0	0.0	89.95
21	9	1	2018	17.14	0.0	0.0	89.575
22	9	1	2018	16.4725	0.0	0.0	90.125
23	9	1	2018	15.685	0.0	0.0	92.8
0	10	1	2018	15.4075	0.0	0.0	94.225
1	10	1	2018	14.89	0.0	0.0	95.9
2	10	1	2018	14.2375	0.0	0.0	96.95
3	10	1	2018	14.045	0.0	0.0	96.575
4	10	1	2018	13.8775	0.0	0.0	96.1
5	10	1	2018	13.45	0.0	0.0	97.05
6	10	1	2018	13.195	0.0	0.0	97.7
